"listing_id","listing_date","listing_type","property_type","tenure","bedroom_count","location","asking_price","revision_date","active_days","is_5percent_reduced"
16383769,2022-03-21,"buy","flat","leasehold",2,"Gillingham",3e+05,2022-04-09,0,"no"
16388011,2022-03-21,"buy","house","freehold",3,"Salford",330000,2022-07-26,106,"yes"
6495883,2021-02-08,"buy","house","freehold",3,"Coventry",182000,2021-05-10,80,"no"
7040653,2021-06-21,"buy","house","freehold",3,"Cardiff",295000,2021-07-05,0,"no"
7442877,2021-02-04,"buy","flat","leasehold",1,"Uxbridge",245000,2021-06-21,0,"yes"
6738907,2022-03-14,"buy","flat","leasehold",2,"Luton",135000,2022-04-23,0,"yes"
7120039,2021-01-19,"buy","flat","leasehold",2,"Reading",220000,2021-05-20,0,"yes"
8373747,2021-03-05,"buy","flat","unknown",1,"Reading",130000,2021-06-10,0,"yes"
13065230,2021-03-27,"buy","house","freehold",2,"Stoke On Trent",136500,2021-04-20,0,"no"
13065630,2021-03-29,"buy","flat","leasehold",2,"Richmond",925000,2021-04-14,0,"no"
13066467,2021-03-28,"buy","flat","leasehold",2,"Cheltenham",450000,2021-07-01,0,"yes"
13089923,2021-03-30,"buy","house","freehold",3,"Mansfield",229995,2021-05-06,32,"yes"
13097202,2021-03-31,"buy","house","freehold",4,"Newcastle Upon Tyne",365000,2021-06-16,0,"no"
13106433,2021-03-30,"buy","flat","leasehold",2,"Cheltenham",2e+05,2021-05-01,0,"yes"
13130855,2021-04-01,"buy","house","unknown",2,"Newcastle Upon Tyne",215000,2021-05-24,0,"no"
13066933,2021-03-26,"buy","house","freehold",3,"Cardiff",2e+05,2021-04-20,0,"yes"
13079370,2021-03-30,"buy","flat","leasehold",2,"Salford",170000,2021-06-02,0,"no"
13084183,2021-03-30,"buy","flat","leasehold",2,"Richmond",6e+05,2021-06-09,42,"yes"
13099999,2021-03-31,"buy","house","unknown",2,"Plymouth",3e+05,2021-04-08,0,"yes"
13110029,2021-03-31,"buy","house","freehold",5,"Bath",1195000,2021-08-10,0,"no"
13113240,2021-04-01,"buy","house","freehold",3,"Barnet",6e+05,2021-09-08,0,"no"
13114460,2021-03-31,"buy","house","freehold",3,"Watford",750000,2021-05-10,0,"no"
13120564,2021-04-01,"buy","flat","leasehold",1,"Reading",3e+05,2021-09-06,125,"no"
13133091,2021-04-03,"buy","house","freehold",4,"Ilford",6e+05,2021-06-24,0,"no"
13137420,2021-04-03,"buy","house","freehold",3,"Exeter",335000,2021-04-14,0,"no"
13156234,2021-04-07,"buy","house","freehold",3,"Barnet",475000,2021-06-07,0,"no"
13158846,2021-04-07,"buy","house","freehold",3,"Barnet",795000,2021-05-17,19,"yes"
14046879,2021-07-01,"buy","house","freehold",3,"Leicester",220000,2021-08-14,16,"yes"
