"listing_id","listing_date","listing_type","property_type","tenure","bedroom_count","location","asking_price","revision_date","revised_asking_price"
13873079,2021-06-11,"buy","house","freehold",4,"Reading",590000,2021-07-02,575000
13878566,2021-06-15,"buy","house","freehold",4,"Plymouth",5e+05,2021-09-01,460000
13879703,2021-06-14,"buy","flat","leasehold",1,"Brighton",2e+05,2022-03-04,180000
13891339,2021-05-24,"buy","house","freehold",2,"Uxbridge",375000,2021-10-14,367500
13896201,2021-06-16,"buy","house","freehold",4,"Coventry",250000,2021-09-08,230000
13908367,2021-06-17,"buy","house","freehold",3,"Plymouth",210000,2021-07-13,190000
13919475,2021-02-16,"buy","flat","leasehold",2,"Leicester",130000,2021-08-09,125000
13923072,2021-06-18,"buy","flat","leasehold",1,"Bromley",260000,2021-09-18,250000
13927192,2021-06-17,"buy","house","freehold",3,"Coventry",180000,2021-06-25,170000
13929812,2021-06-18,"buy","flat","leasehold",2,"Cheltenham",175000,2021-10-21,165000
13955744,2021-06-21,"buy","house","freehold",4,"Newcastle Upon Tyne",249950,2021-10-22,235000
13957080,2021-06-22,"buy","house","freehold",4,"Reading",550000,2021-09-13,490000
13957167,2021-06-22,"buy","house","freehold",3,"Leicester",270000,2021-07-30,260000
13967122,2021-06-21,"buy","house","freehold",3,"Leicester",245000,2021-08-23,240000
13989143,2021-06-24,"buy","house","freehold",3,"Dartford",650000,2021-11-05,575000
13997702,2021-06-25,"buy","flat","leasehold",2,"Richmond",450000,2022-02-17,415000
14046737,2021-06-20,"buy","house","freehold",3,"Gillingham",270000,2021-09-25,260000
14066954,2021-07-02,"buy","flat","leasehold",1,"Uxbridge",339000,2021-08-02,325000
14067399,2021-07-02,"buy","flat","leasehold",2,"Leicester",115000,2021-08-04,110000
14067486,2021-07-02,"buy","house","freehold",2,"Newcastle Upon Tyne",191000,2021-07-07,186100
14075128,2021-07-01,"buy","house","freehold",3,"Hull",175000,2021-08-31,135000
14076228,2021-07-02,"buy","house","freehold",3,"Gillingham",165500,2021-07-27,165000
14081981,2021-07-02,"buy","house","freehold",2,"Cardiff",190000,2021-07-19,175000
14093010,2021-07-06,"buy","house","freehold",4,"Barnet",930000,2021-07-21,9e+05
16144077,2021-10-09,"buy","flat","leasehold",1,"Brighton",260000,2022-02-07,250000
16150581,2021-09-27,"buy","flat","leasehold",2,"Reading",3e+05,2022-01-27,275000
16151248,2022-02-23,"buy","house","unknown",3,"Mansfield",325000,2022-04-30,310000
16164257,2022-02-25,"buy","house","freehold",4,"Uxbridge",990000,2022-05-31,950000
16187827,2022-03-01,"buy","house","freehold",4,"Plymouth",250000,2022-03-14,230000
16198748,2022-03-01,"buy","house","freehold",3,"Chelmsford",485000,2022-03-21,475000
16201921,2022-03-01,"buy","house","freehold",2,"Plymouth",240000,2022-04-07,219950
16214575,2022-03-02,"buy","house","freehold",2,"Newcastle Upon Tyne",195000,2022-03-22,185000
16216282,2022-03-02,"buy","house","freehold",4,"Surbiton",975000,2022-05-12,949950
16221477,2022-03-02,"buy","house","freehold",3,"Wolverhampton",213000,2022-05-26,208000
16236315,2022-03-04,"buy","house","freehold",4,"Ilford",675000,2022-04-08,640000
16766895,2022-04-29,"buy","house","freehold",4,"Reading",4e+05,2022-06-16,385000
16778409,2022-03-22,"buy","house","freehold",3,"Cheltenham",335000,2022-04-21,325000
16812180,2022-05-04,"buy","flat","leasehold",2,"Watford",150000,2022-05-28,135000
16822848,2021-07-30,"buy","house","freehold",2,"Richmond",975000,2021-09-14,9e+05
16827027,2022-05-05,"buy","house","freehold",4,"Warrington",625000,2022-07-26,580000
16830396,2022-05-06,"buy","house","freehold",2,"Gillingham",205000,2022-07-25,192000
16847229,2022-05-07,"buy","house","freehold",4,"Surbiton",1e+06,2022-06-22,975000
16848202,2022-05-07,"buy","house","freehold",5,"Brighton",8e+05,2022-06-09,775000
16856107,2022-05-09,"buy","house","freehold",3,"Ilford",575000,2022-06-27,555000
16861686,2022-05-09,"buy","house","unknown",3,"Leicester",325000,2022-07-06,320000
16862874,2022-05-09,"buy","house","freehold",2,"Bath",375000,2022-07-07,367500
16885838,2022-05-11,"buy","house","freehold",4,"Wolverhampton",275000,2022-05-25,270000
16893301,2022-05-11,"buy","house","freehold",3,"Coventry",399950,2022-08-01,370000
16904263,2022-05-12,"buy","house","freehold",4,"Gillingham",450000,2022-07-13,425000
16913238,2022-05-13,"buy","house","freehold",3,"Cardiff",310000,2022-07-12,3e+05
16933971,2022-05-16,"buy","house","freehold",5,"Sheffield",475000,2022-06-06,465000
16957268,2022-05-18,"buy","house","freehold",4,"Leicester",350000,2022-06-14,325000
16962451,2022-05-19,"buy","house","freehold",3,"Leicester",295000,2022-06-14,280000
16972717,2022-05-19,"buy","house","freehold",5,"Reading",650000,2022-06-20,625000
16979105,2022-05-19,"buy","house","freehold",2,"Sheffield",135000,2022-06-21,130000
16986603,2022-05-20,"buy","house","freehold",4,"Ilford",575000,2022-08-09,560000
14153456,2021-07-09,"buy","house","freehold",5,"Reading",775000,2021-10-01,750000
14165550,2021-07-12,"buy","house","freehold",4,"Coventry",530000,2021-08-05,5e+05
14168147,2021-07-13,"buy","flat","leasehold",2,"Reading",220000,2021-12-26,205000
